index	Ontology	GO id	GO term	value	pval	qval
35	MF	GO:0032561	guanyl ribonucleotide binding	184	0.0005666026994903803	0.09265303190714123
36	BP	GO:0001932	regulation of protein phosphorylation	467	0.0005963225761812294	0.5096152422821382
37	BP	GO:0043410	positive regulation of MAPK cascade	189	0.0006129112118531168	0.5096152422821382
38	MF	GO:0004672	protein kinase activity	203	0.0007553918795411668	0.11790980519747123
39	BP	GO:0043085	positive regulation of catalytic activity	509	0.0008282278472208982	0.6456036069086902
40	BP	GO:0033138	positive regulation of peptidyl-serine phosphorylation	48	0.0009118532345238628	0.6689784435871539
41	MF	GO:0030234	enzyme regulator activity	535	0.0010008077632600609	0.14942495039282822
42	BP	GO:0042325	regulation of phosphorylation	538	0.0010222597906592826	0.7083124505056985
43	CC	GO:0005739	mitochondrion	543	0.0010587455040348824	0.8501726397400106
44	MF	GO:0016773	phosphotransferase activity, alcohol group as acceptor	242	0.0012599055298159836	0.17514274222748144
45	MF	GO:0017111	nucleoside-triphosphatase activity	243	0.001275063644638042	0.17514274222748144
46	BP	GO:0050790	regulation of catalytic activity	1043	0.001301520505370143	0.835642947147025
47	BP	GO:0006468	protein phosphorylation	254	0.001449554077126678	0.835642947147025
48	BP	GO:0019220	regulation of phosphate metabolic process	602	0.0015630819083850527	0.835642947147025
49	BP	GO:0051174	regulation of phosphorus metabolic process	602	0.0015630819083850527	0.835642947147025
50	BP	GO:0051345	positive regulation of hydrolase activity	262	0.0015855645727230042	0.835642947147025
51	BP	GO:0033135	regulation of peptidyl-serine phosphorylation	64	0.0016170463416786004	0.835642947147025
52	MF	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	268	0.001692730338529705	0.2047906905634223
53	MF	GO:0016462	pyrophosphatase activity	268	0.001692730338529705	0.2047906905634223
54	MF	GO:0016817	hydrolase activity, acting on acid anhydrides	268	0.001692730338529705	0.2047906905634223
55	MF	GO:0016301	kinase activity	270	0.0017294496291028673	0.2047906905634223
56	BP	GO:0032270	positive regulation of cellular protein metabolic process	623	0.0017780960913163434	0.835642947147025
57	BP	GO:0043408	regulation of MAPK cascade	281	0.0019404754201612338	0.835642947147025
58	BP	GO:0071550	death-inducing signaling complex assembly	2	0.0019430440560666874	0.835642947147025
59	BP	GO:0031034	myosin filament assembly	2	0.0019430440560666874	0.835642947147025
60	BP	GO:0031033	myosin filament organization	2	0.0019430440560666874	0.835642947147025
61	CC	GO:0005829	cytosol	2649	0.0020456333457257365	1.0
62	BP	GO:0050679	positive regulation of epithelial cell proliferation	75	0.002213948772469066	0.9011806199739554
63	BP	GO:0051247	positive regulation of protein metabolic process	668	0.0023086386125732053	0.9011806199739554
64	BP	GO:0031399	regulation of protein modification process	674	0.002386990633382083	0.9011806199739554
65	BP	GO:0044093	positive regulation of molecular function	694	0.0026618116199144813	0.9011806199739554
66	BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	85	0.002834368856842032	0.9011806199739554
67	BP	GO:0016310	phosphorylation	323	0.002894152676630594	0.9011806199739554
68	BP	GO:0046578	regulation of Ras protein signal transduction	86	0.0029004397998352006	0.9011806199739554
69	BP	GO:0042088	T-helper 1 type immune response	3	0.002913326672134689	0.9011806199739554
70	BP	GO:0035900	response to isolation stress	3	0.002913326672134689	0.9011806199739554
71	BP	GO:0098696	regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	3	0.002913326672134689	0.9011806199739554
72	BP	GO:0014829	vascular associated smooth muscle contraction	3	0.002913326672134689	0.9011806199739554
73	BP	GO:0070302	regulation of stress-activated protein kinase signaling cascade	88	0.0030347647561663024	0.9011806199739554
74	BP	GO:0032872	regulation of stress-activated MAPK cascade	88	0.0030347647561663024	0.9011806199739554
75	BP	GO:1902531	regulation of intracellular signal transduction	732	0.0032445415775746458	0.9410679664072321
76	MF	GO:0016772	transferase activity, transferring phosphorus-containing groups	339	0.0033225158266911186	0.3803173116285767
77	BP	GO:0051561	positive regulation of mitochondrial calcium ion concentration	4	0.0038827838167671677	1.0
78	BP	GO:0036289	peptidyl-serine autophosphorylation	4	0.0038827838167671677	1.0
79	BP	GO:2000630	positive regulation of miRNA metabolic process	4	0.0038827838167671677	1.0
80	BP	GO:0090170	regulation of Golgi inheritance	4	0.0038827838167671677	1.0
81	MF	GO:0010856	adenylate cyclase activator activity	4	0.0038827838167671677	0.43011224602511144
82	BP	GO:0048732	gland development	106	0.004373275357902499	1.0
83	BP	GO:0043066	negative regulation of apoptotic process	374	0.004392894408663214	1.0
84	MF	GO:0003824	catalytic activity	2081	0.004474823551904732	0.48020450241377655
85	BP	GO:0043069	negative regulation of programmed cell death	385	0.004768539739207174	1.0
86	BP	GO:0065009	regulation of molecular function	1386	0.004805618168833042	1.0
87	BP	GO:0035773	insulin secretion involved in cellular response to glucose stimulus	5	0.004851416092260852	1.0
88	BP	GO:1900029	positive regulation of ruffle assembly	5	0.004851416092260852	1.0
89	BP	GO:2000628	regulation of miRNA metabolic process	5	0.004851416092260852	1.0
90	BP	GO:1903800	positive regulation of production of miRNAs involved in gene silencing by miRNA	5	0.004851416092260852	1.0
91	BP	GO:1902533	positive regulation of intracellular signal transduction	409	0.0056558202183342975	1.0
92	BP	GO:0032471	negative regulation of endoplasmic reticulum calcium ion concentration	6	0.005819224099864896	1.0
93	BP	GO:1902473	regulation of protein localization to synapse	6	0.005819224099864896	1.0
94	MF	GO:0031434	mitogen-activated protein kinase kinase binding	6	0.005819224099864896	0.6055519866344259
95	BP	GO:0051056	regulation of small GTPase mediated signal transduction	126	0.00612851094987878	1.0
96	CC	GO:0098588	bounding membrane of organelle	890	0.006647760213113219	1.0
97	BP	GO:0060548	negative regulation of cell death	435	0.006725004350574524	1.0
98	BP	GO:1902683	regulation of receptor localization to synapse	7	0.006786208441061967	1.0
99	MF	GO:0005078	MAP-kinase scaffold activity	7	0.006786208441061967	0.6658239939030512
100	MF	GO:0008179	adenylate cyclase binding	7	0.006786208441061967	0.6658239939030512
101	BP	GO:0050678	regulation of epithelial cell proliferation	136	0.007109311719202664	1.0
102	BP	GO:0051346	negative regulation of hydrolase activity	140	0.007520552326051587	1.0
103	BP	GO:0048169	regulation of long-term neuronal synaptic plasticity	8	0.007752369717077413	1.0
104	BP	GO:0042310	vasoconstriction	8	0.007752369717077413	1.0
105	BP	GO:0048011	neurotrophin TRK receptor signaling pathway	8	0.007752369717077413	1.0
106	BP	GO:0007190	activation of adenylate cyclase activity	9	0.008717708527926984	1.0
107	BP	GO:0060324	face development	9	0.008717708527926984	1.0
108	BP	GO:0051560	mitochondrial calcium ion homeostasis	10	0.009682225474188285	1.0
109	BP	GO:0035994	response to muscle stretch	10	0.009682225474188285	1.0
110	MF	GO:0004708	MAP kinase kinase activity	10	0.009682225474188285	0.8986151967125019
111	MF	GO:0010851	cyclase regulator activity	10	0.009682225474188285	0.8986151967125019
112	BP	GO:0071900	regulation of protein serine/threonine kinase activity	164	0.010210534713538486	1.0
113	MF	GO:0005524	ATP binding	507	0.010303237959485003	0.9310873461281974
114	BP	GO:0045860	positive regulation of protein kinase activity	165	0.010330769563261616	1.0
115	BP	GO:1903798	regulation of production of miRNAs involved in gene silencing by miRNA	11	0.010645921155667228	1.0
116	BP	GO:0070920	regulation of production of small RNA involved in gene silencing by RNA	11	0.010645921155667228	1.0
117	BP	GO:0010863	positive regulation of phospholipase C activity	11	0.010645921155667228	1.0
118	BP	GO:1900027	regulation of ruffle assembly	11	0.010645921155667228	1.0
119	BP	GO:0035019	somatic stem cell population maintenance	11	0.010645921155667228	1.0
120	BP	GO:2000641	regulation of early endosome to late endosome transport	11	0.010645921155667228	1.0
121	BP	GO:0032268	regulation of cellular protein metabolic process	1022	0.010941411087219927	1.0
122	MF	GO:0043167	ion binding	2460	0.011033177686060361	0.9714854403572123
123	BP	GO:2000251	positive regulation of actin cytoskeleton reorganization	12	0.011608796171314582	1.0
124	BP	GO:1900274	regulation of phospholipase C activity	12	0.011608796171314582	1.0
125	BP	GO:0042832	defense response to protozoan	12	0.011608796171314582	1.0
126	BP	GO:0001562	response to protozoan	12	0.011608796171314582	1.0
127	BP	GO:0032386	regulation of intracellular transport	179	0.012081119417186826	1.0
128	MF	GO:0032559	adenyl ribonucleotide binding	540	0.012261039453541952	1.0
129	BP	GO:1903358	regulation of Golgi organization	13	0.012570851120800183	1.0
130	BP	GO:0006939	smooth muscle contraction	13	0.012570851120800183	1.0
131	CC	GO:0031143	pseudopodium	13	0.012570851120800183	1.0
132	MF	GO:0030554	adenyl nucleotide binding	550	0.012895147558713776	1.0
133	MF	GO:0005096	GTPase activator activity	186	0.01300268431174905	1.0
134	BP	GO:0038179	neurotrophin signaling pathway	14	0.013532086602961596	1.0
135	BP	GO:0071480	cellular response to gamma radiation	14	0.013532086602961596	1.0
136	BP	GO:0030878	thyroid gland development	14	0.013532086602961596	1.0
137	BP	GO:0033674	positive regulation of kinase activity	192	0.013816854189815495	1.0
138	MF	GO:0044877	protein-containing complex binding	565	0.013882463105737115	1.0
139	BP	GO:0051246	regulation of protein metabolic process	1103	0.014346746044139396	1.0
140	BP	GO:0060148	positive regulation of posttranscriptional gene silencing	15	0.014492503215492173	1.0
141	BP	GO:2000637	positive regulation of gene silencing by miRNA	15	0.014492503215492173	1.0
142	MF	GO:0030695	GTPase regulator activity	203	0.015366897894584529	1.0
143	MF	GO:0060589	nucleoside-triphosphatase regulator activity	203	0.015366897894584529	1.0
144	MF	GO:1901363	heterocyclic compound binding	2621	0.015432976296034068	1.0
145	BP	GO:1903649	regulation of cytoplasmic transport	16	0.01545210155758377	1.0
146	BP	GO:0070371	ERK1 and ERK2 cascade	16	0.01545210155758377	1.0
147	BP	GO:0032469	endoplasmic reticulum calcium ion homeostasis	16	0.01545210155758377	1.0
148	BP	GO:0030073	insulin secretion	17	0.016410882225099677	1.0
149	BP	GO:0010518	positive regulation of phospholipase activity	17	0.016410882225099677	1.0
150	BP	GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	17	0.016410882225099677	1.0
151	MF	GO:0097159	organic cyclic compound binding	2657	0.0165801348912084	1.0
152	BP	GO:0034260	negative regulation of GTPase activity	18	0.01736884581683053	1.0
153	BP	GO:0009967	positive regulation of signal transduction	619	0.017802524159627277	1.0
154	BP	GO:2000249	regulation of actin cytoskeleton reorganization	19	0.01832599292905154	1.0
155	BP	GO:0048168	regulation of neuronal synaptic plasticity	19	0.01832599292905154	1.0
156	BP	GO:0010517	regulation of phospholipase activity	20	0.019282324158780825	1.0
157	BP	GO:0042981	regulation of apoptotic process	639	0.019402263458047513	1.0
158	BP	GO:0060147	regulation of posttranscriptional gene silencing	21	0.02023784010156617	1.0
159	BP	GO:0090314	positive regulation of protein targeting to membrane	21	0.02023784010156617	1.0
160	BP	GO:0060964	regulation of gene silencing by miRNA	21	0.02023784010156617	1.0
161	BP	GO:0043067	regulation of programmed cell death	652	0.02048560081501229	1.0
162	CC	GO:0000139	Golgi membrane	240	0.021109898908337487	1.0
163	BP	GO:0048538	thymus development	22	0.02119254135390326	1.0
164	BP	GO:0045740	positive regulation of DNA replication	22	0.02119254135390326	1.0
165	BP	GO:0060966	regulation of gene silencing by RNA	22	0.02119254135390326	1.0
166	MF	GO:0043539	protein serine/threonine kinase activator activity	22	0.02119254135390326	1.0
167	BP	GO:0051347	positive regulation of transferase activity	242	0.021442935416188243	1.0
168	BP	GO:0090398	cellular senescence	23	0.022146428510235055	1.0
169	BP	GO:0010332	response to gamma radiation	23	0.022146428510235055	1.0
170	BP	GO:0006796	phosphate-containing compound metabolic process	674	0.02239765801442636	1.0
171	BP	GO:0009966	regulation of signal transduction	1254	0.02247305118278455	1.0
172	BP	GO:0002790	peptide secretion	24	0.023099502166697143	1.0
173	BP	GO:0090313	regulation of protein targeting to membrane	24	0.023099502166697143	1.0
174	BP	GO:0030072	peptide hormone secretion	24	0.023099502166697143	1.0
175	BP	GO:0006793	phosphorus metabolic process	686	0.02348256409432341	1.0
176	BP	GO:0010647	positive regulation of cell communication	688	0.02366627416459751	1.0
177	BP	GO:0023056	positive regulation of signaling	689	0.02375843961642949	1.0
178	BP	GO:0060193	positive regulation of lipase activity	25	0.02405176291771534	1.0
179	BP	GO:0090303	positive regulation of wound healing	25	0.02405176291771534	1.0
180	CC	GO:0005778	peroxisomal membrane	25	0.02405176291771534	1.0
181	CC	GO:0031903	microbody membrane	25	0.02405176291771534	1.0
182	MF	GO:0004712	protein serine/threonine/tyrosine kinase activity	25	0.02405176291771534	1.0
183	BP	GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	26	0.02500321135704042	1.0
184	BP	GO:0045104	intermediate filament cytoskeleton organization	27	0.025953848079873776	1.0
185	BP	GO:0031279	regulation of cyclase activity	27	0.025953848079873776	1.0
186	BP	GO:0045103	intermediate filament-based process	27	0.025953848079873776	1.0
187	BP	GO:0046579	positive regulation of Ras protein signal transduction	27	0.025953848079873776	1.0
188	BP	GO:0042127	regulation of cell population proliferation	714	0.02613002669523202	1.0
189	BP	GO:0010941	regulation of cell death	715	0.026227595266339773	1.0
190	BP	GO:0046879	hormone secretion	29	0.02785268874814873	1.0
191	BP	GO:0032729	positive regulation of interferon-gamma production	29	0.02785268874814873	1.0
192	BP	GO:0065007	biological regulation	5129	0.02845455606210796	1.0
193	BP	GO:0051057	positive regulation of small GTPase mediated signal transduction	30	0.028800893878912322	1.0
194	BP	GO:0045859	regulation of protein kinase activity	285	0.029138570722458793	1.0
195	CC	GO:0009898	cytoplasmic side of plasma membrane	31	0.02974828966729704	1.0
196	MF	GO:0097110	scaffold protein binding	31	0.02974828966729704	1.0
197	BP	GO:1903508	positive regulation of nucleic acid-templated transcription	757	0.03051443642846093	1.0
198	BP	GO:0045893	positive regulation of transcription, DNA-templated	757	0.03051443642846093	1.0
199	BP	GO:1902680	positive regulation of RNA biosynthetic process	758	0.030621016893090686	1.0
200	BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	32	0.030694876700916952	1.0
201	BP	GO:0051173	positive regulation of nitrogen compound metabolic process	1382	0.03136443708440708	1.0
202	BP	GO:0080135	regulation of cellular response to stress	297	0.03146290401552061	1.0
203	BP	GO:0060968	regulation of gene silencing	33	0.03164065557536197	1.0
204	BP	GO:1903036	positive regulation of response to wounding	33	0.03164065557536197	1.0
205	BP	GO:0001938	positive regulation of endothelial cell proliferation	33	0.03164065557536197	1.0
206	BP	GO:0009914	hormone transport	33	0.03164065557536197	1.0
207	MF	GO:0030165	PDZ domain binding	33	0.03164065557536197	1.0
208	BP	GO:0060191	regulation of lipase activity	34	0.03258562687970629	1.0
209	BP	GO:0071479	cellular response to ionizing radiation	34	0.03258562687970629	1.0
210	BP	GO:0010646	regulation of cell communication	1406	0.03325057893399368	1.0
211	BP	GO:0015833	peptide transport	35	0.03352979120664587	1.0
212	BP	GO:0001889	liver development	35	0.03352979120664587	1.0
213	BP	GO:0035023	regulation of Rho protein signal transduction	35	0.03352979120664587	1.0
214	BP	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	35	0.03352979120664587	1.0
215	BP	GO:0023051	regulation of signaling	1411	0.03365249215034285	1.0
216	BP	GO:2000117	negative regulation of cysteine-type endopeptidase activity	37	0.03541570128777092	1.0
217	BP	GO:0007569	cell aging	38	0.036357448223603886	1.0
218	BP	GO:0032006	regulation of TOR signaling	38	0.036357448223603886	1.0
219	CC	GO:0070821	tertiary granule membrane	38	0.036357448223603886	1.0
220	BP	GO:0051254	positive regulation of RNA metabolic process	810	0.03645385616580904	1.0
221	BP	GO:0043086	negative regulation of catalytic activity	324	0.03696136004444084	1.0
222	CC	GO:0031090	organelle membrane	1461	0.03784395054071228	1.0
223	BP	GO:0030162	regulation of proteolysis	329	0.03801936579947733	1.0
224	BP	GO:0008285	negative regulation of cell population proliferation	330	0.03823242907779178	1.0
225	BP	GO:0042060	wound healing	40	0.038238528831878796	1.0
226	BP	GO:0031325	positive regulation of cellular metabolic process	1474	0.03898560377139459	1.0
227	BP	GO:0035592	establishment of protein localization to extracellular region	41	0.039177863683350994	1.0
228	BP	GO:0071692	protein localization to extracellular region	41	0.039177863683350994	1.0
229	BP	GO:0009306	protein secretion	41	0.039177863683350994	1.0
230	MF	GO:0030295	protein kinase activator activity	41	0.039177863683350994	1.0
231	MF	GO:0016787	hydrolase activity	833	0.0392161078258738	1.0
232	BP	GO:0043549	regulation of kinase activity	336	0.039520969624050516	1.0
233	BP	GO:0035150	regulation of tube size	42	0.04011639568517227	1.0
234	BP	GO:0097746	blood vessel diameter maintenance	42	0.04011639568517227	1.0
235	BP	GO:0035296	regulation of tube diameter	42	0.04011639568517227	1.0
236	BP	GO:0120034	positive regulation of plasma membrane bounded cell projection assembly	43	0.04105412542423604	1.0
237	BP	GO:0019827	stem cell population maintenance	44	0.041991053488379275	1.0
238	BP	GO:0043406	positive regulation of MAP kinase activity	44	0.041991053488379275	1.0
239	BP	GO:0046330	positive regulation of JNK cascade	44	0.041991053488379275	1.0
240	BP	GO:0048584	positive regulation of response to stimulus	856	0.042090342527865206	1.0
241	BP	GO:0010557	positive regulation of macromolecule biosynthetic process	859	0.042473497208851095	1.0
242	CC	GO:0098562	cytoplasmic side of membrane	45	0.04292718046763522	1.0
243	BP	GO:0098727	maintenance of cell number	46	0.04386250694571054	1.0
244	BP	GO:0006275	regulation of DNA replication	46	0.04386250694571054	1.0
245	MF	GO:0019209	kinase activator activity	46	0.04386250694571054	1.0
246	BP	GO:0010604	positive regulation of macromolecule metabolic process	1528	0.043960925577429665	1.0
247	CC	GO:0048471	perinuclear region of cytoplasm	358	0.04439204298275496	1.0
248	BP	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	47	0.04479703351275242	1.0
249	MF	GO:0004714	transmembrane receptor protein tyrosine kinase activity	47	0.04479703351275242	1.0
250	BP	GO:0031333	negative regulation of protein-containing complex assembly	48	0.04573076075296185	1.0
251	BP	GO:0042886	amide transport	48	0.04573076075296185	1.0
252	BP	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	886	0.046007539288671066	1.0
253	MF	GO:0140096	catalytic activity, acting on a protein	888	0.04627544844499059	1.0
254	BP	GO:1903533	regulation of protein targeting	49	0.046663689251961696	1.0
255	BP	GO:0050852	T cell receptor signaling pathway	49	0.046663689251961696	1.0
256	MF	GO:0019199	transmembrane receptor protein kinase activity	49	0.046663689251961696	1.0
257	BP	GO:0001936	regulation of endothelial cell proliferation	50	0.04759581959823149	1.0
258	MF	GO:0004713	protein tyrosine kinase activity	50	0.04759581959823149	1.0
259	BP	GO:0031328	positive regulation of cellular biosynthetic process	899	0.047764039699416956	1.0
260	BP	GO:0032649	regulation of interferon-gamma production	51	0.0485271523746459	1.0
261	BP	GO:0009891	positive regulation of biosynthetic process	909	0.04913944653022111	1.0
262	MF	GO:0016740	transferase activity	911	0.049417055985046414	1.0
263	BP	GO:0061041	regulation of wound healing	53	0.05038742755915071	1.0
264	MF	GO:0035591	signaling adaptor activity	54	0.0513163711384339	1.0
265	BP	GO:0008284	positive regulation of cell population proliferation	389	0.05163246784317798	1.0
266	BP	GO:0048583	regulation of response to stimulus	1612	0.0524612655299236	1.0
267	BP	GO:0007010	cytoskeleton organization	393	0.05259768303949544	1.0
268	CC	GO:0042579	microbody	56	0.05317187318184392	1.0
269	BP	GO:0051338	regulation of transferase activity	398	0.05381390550403869	1.0
270	BP	GO:0043524	negative regulation of neuron apoptotic process	57	0.054098432818186555	1.0
271	BP	GO:0018108	peptidyl-tyrosine phosphorylation	58	0.055024198970718544	1.0
272	BP	GO:0018212	peptidyl-tyrosine modification	58	0.055024198970718544	1.0
273	BP	GO:2000145	regulation of cell motility	406	0.05578204453748129	1.0
274	BP	GO:1905477	positive regulation of protein localization to membrane	59	0.055949172224485116	1.0
275	BP	GO:0023061	signal release	59	0.055949172224485116	1.0
276	BP	GO:0060341	regulation of cellular localization	409	0.05652706342580631	1.0
277	BP	GO:0046328	regulation of JNK cascade	60	0.05687335316334274	1.0
278	BP	GO:0009893	positive regulation of metabolic process	1659	0.057629529873540974	1.0
279	BP	GO:0070304	positive regulation of stress-activated protein kinase signaling cascade	62	0.05871934041515798	1.0
280	BP	GO:0032874	positive regulation of stress-activated MAPK cascade	62	0.05871934041515798	1.0
281	BP	GO:0048522	positive regulation of cellular process	2479	0.05879893042833212	1.0
282	BP	GO:0044087	regulation of cellular component biogenesis	420	0.059290851308709654	1.0
283	BP	GO:0040012	regulation of locomotion	420	0.059290851308709654	1.0
284	MF	GO:0005516	calmodulin binding	64	0.060562165376640595	1.0
285	BP	GO:0046777	protein autophosphorylation	65	0.061482393450957545	1.0
286	BP	GO:0051270	regulation of cellular component movement	430	0.06184641494713053	1.0
287	BP	GO:0050851	antigen receptor-mediated signaling pathway	67	0.06332048368284102	1.0
288	BP	GO:1904375	regulation of protein localization to cell periphery	67	0.06332048368284102	1.0
289	BP	GO:0048534	hematopoietic or lymphoid organ development	68	0.06423834700175292	1.0
290	CC	GO:0005886	plasma membrane	1719	0.06466385299495603	1.0
291	CC	GO:0005789	endoplasmic reticulum membrane	446	0.06601850612647552	1.0
292	BP	GO:0097193	intrinsic apoptotic signaling pathway	70	0.06607171293574841	1.0
293	BP	GO:0009628	response to abiotic stimulus	447	0.06628260087119489	1.0
294	BP	GO:1903034	regulation of response to wounding	71	0.06698721671043062	1.0
295	BP	GO:0010212	response to ionizing radiation	71	0.06698721671043062	1.0
296	BP	GO:0070374	positive regulation of ERK1 and ERK2 cascade	72	0.06790193512364806	1.0
297	BP	GO:0010628	positive regulation of gene expression	454	0.06814208765784652	1.0
298	BP	GO:0018105	peptidyl-serine phosphorylation	73	0.06881586875861077	1.0
299	BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	74	0.06972901818899281	1.0
300	BP	GO:0006936	muscle contraction	76	0.07155296674189228	1.0
301	BP	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	77	0.07246376702313473	1.0
302	BP	GO:0051128	regulation of cellular component organization	1062	0.07278390248518611	1.0
303	BP	GO:0043405	regulation of MAP kinase activity	78	0.07337378540062613	1.0
304	BP	GO:0018209	peptidyl-serine modification	78	0.07337378540062613	1.0
305	BP	GO:0048167	regulation of synaptic plasticity	79	0.07428302245841288	1.0
306	BP	GO:0060491	regulation of cell projection assembly	81	0.07609915489841677	1.0
307	BP	GO:0120032	regulation of plasma membrane bounded cell projection assembly	81	0.07609915489841677	1.0
308	BP	GO:0071478	cellular response to radiation	81	0.07609915489841677	1.0
309	BP	GO:0009612	response to mechanical stimulus	81	0.07609915489841677	1.0
310	BP	GO:0010951	negative regulation of endopeptidase activity	82	0.077006051433246	1.0
311	BP	GO:0003018	vascular process in circulatory system	83	0.07791216894350467	1.0
312	BP	GO:0044092	negative regulation of molecular function	492	0.07855683401928097	1.0
313	BP	GO:0009611	response to wounding	84	0.0788175080028657	1.0
314	BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	84	0.0788175080028657	1.0
315	BP	GO:0002757	immune response-activating signal transduction	84	0.0788175080028657	1.0
316	CC	GO:0005741	mitochondrial outer membrane	84	0.0788175080028657	1.0
317	BP	GO:1901215	negative regulation of neuron death	85	0.0797220691811734	1.0
318	BP	GO:0010466	negative regulation of peptidase activity	85	0.0797220691811734	1.0
319	CC	GO:0005783	endoplasmic reticulum	500	0.08081588842273173	1.0
320	BP	GO:0006464	cellular protein modification process	1112	0.0815482748208043	1.0
321	BP	GO:0036211	protein modification process	1112	0.0815482748208043	1.0
322	BP	GO:0007507	heart development	91	0.08513313288121498	1.0
323	BP	GO:0043523	regulation of neuron apoptotic process	91	0.08513313288121498	1.0
324	BP	GO:2000058	regulation of ubiquitin-dependent protein catabolic process	91	0.08513313288121498	1.0
325	CC	GO:0019867	outer membrane	92	0.08603226494100796	1.0
326	CC	GO:0031968	organelle outer membrane	92	0.08603226494100796	1.0
327	BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	93	0.08693062369102057	1.0
328	BP	GO:0090316	positive regulation of intracellular protein transport	94	0.08782820970838763	1.0
329	MF	GO:0005085	guanyl-nucleotide exchange factor activity	94	0.08782820970838763	1.0
330	BP	GO:1905475	regulation of protein localization to membrane	96	0.08962106582023467	1.0
331	CC	GO:0005770	late endosome	96	0.08962106582023467	1.0
332	BP	GO:0001666	response to hypoxia	98	0.09141083782943124	1.0
333	BP	GO:0080134	regulation of response to stress	541	0.09273483006230242	1.0
334	BP	GO:0003012	muscle system process	100	0.09319753028024295	1.0
335	MF	GO:0008022	protein C-terminus binding	101	0.09408972309100302	1.0
336	BP	GO:0051495	positive regulation of cytoskeleton organization	102	0.09498114771850326	1.0
