MT-TF	ENSG00000210049
KIR2DS4	ENSG00000274957
KIR2DL4	ENSG00000275317
U6	ENSG00000278140
KIR3DL3	ENSG00000276328
KIR2DP1	ENSG00000278614
GARRE1	ENSG00000279389
KIR2DL4	ENSG00000278430
CTDP1	ENSG00000282752
LSM14A	ENSG00000262860
DLG5-AS1	ENSG00000282770
ARHGEF26-AS1	ENSG00000281157
KIR2DS2	ENSG00000274438
RN7SL284P	ENSG00000276516
RNU6-1266P	ENSG00000276274
KIR3DP1	ENSG00000274163
LILRP2	ENSG00000274842
KIR2DS4	ENSG00000276254
KIR2DS4	ENSG00000274406
U6	ENSG00000275671
KIR2DL1	ENSG00000275276
MUC6	ENSG00000277518
PRB1	ENSG00000275517
KIR2DL3	ENSG00000275008
KIR2DS3	ENSG00000275599
LILRP1	ENSG00000273670
KIR2DP1	ENSG00000274476
KIR3DS1	ENSG00000274283
KIR2DL4	ENSG00000278606
RNU6-1025P	ENSG00000274980
SBNO2	ENSG00000278788
KIR2DP1	ENSG00000274942
KIR3DL1	ENSG00000273518
ZNF965P	ENSG00000282352
GXYLT1P1	ENSG00000282037
CYP4F34P	ENSG00000282782
CNN2P12	ENSG00000282611
SNX18P26	ENSG00000282677
LINC00328-2P	ENSG00000282536
ANKRD20A9P	ENSG00000282715
RNU6-55P	ENSG00000278853
U6	ENSG00000252379
Y_RNA	ENSG00000277428
U6	ENSG00000278063
KIR3DL3	ENSG00000276084
CRIM1	ENSG00000277354
KIR2DL2	ENSG00000277251
SUDS3P1	ENSG00000281351
RPL21P36	ENSG00000278476
PROP1	ENSG00000274382
CRIM1-DT	ENSG00000279215
LILRP1	ENSG00000276307
LILRP2	ENSG00000273883
SEPTIN9-DT	ENSG00000282649
KIR2DL1	ENSG00000278821
SEPTIN9	ENSG00000282302
LILRP2	ENSG00000277271
KIR2DS4	ENSG00000275351
KIR2DS1	ENSG00000278304
KIR2DL1	ENSG00000277833
ABCB10P1	ENSG00000281173
GOLGA8DP	ENSG00000278508
KIR2DL5A	ENSG00000276686
KIR2DL4	ENSG00000278201
KIR3DL1	ENSG00000278427
APOBEC3B-AS1	ENSG00000262679
APOBEC3A	ENSG00000262156
KIR3DL2	ENSG00000278361
TUBGCP5	ENSG00000280807
SLC45A2	ENSG00000281919
KRT18P40	ENSG00000277976
KRTAP5-6	ENSG00000277389
KIR2DL3	ENSG00000274402
ZNF430	ENSG00000278780
KRTAP5-1	ENSG00000280585
RXFP3	ENSG00000277069
KRTAP5-4	ENSG00000278620
GOLGA6L1	ENSG00000278247
KIR3DP1	ENSG00000275255
ADAMTS12	ENSG00000281690
LILRP2	ENSG00000273528
KIR3DL2	ENSG00000275262
U6	ENSG00000277091
KRTAP5-5	ENSG00000278302
KIR3DL1	ENSG00000275486
FAM99A	ENSG00000281261
KRTAP5-2	ENSG00000278489
LINC02708	ENSG00000281633
DECR2	ENSG00000274296
ELMO2P1	ENSG00000281725
KRTAP5-AS1	ENSG00000281176
LINC02708	ENSG00000281240
ZNF85	ENSG00000278091
FAM99B	ENSG00000281783
DUSP8	ENSG00000278165
FAM99A	ENSG00000281733
KRTAP5-3	ENSG00000275920
Metazoa_SRP	ENSG00000277046
KRTAP5-4	ENSG00000277068
ELMO2P1	ENSG00000280500
FAM99B	ENSG00000281829
GOLGA8DP	ENSG00000278070
IFITM10	ENSG00000281618
LINC01659	ENSG00000280986
KRTAP5-1	ENSG00000278210
ZDHHC8P1	ENSG00000281076
KRTAP5-3	ENSG00000281191
LINC02549	ENSG00000280737
KRTAP5-2	ENSG00000281533
KRTAP5-5	ENSG00000277291
U6	ENSG00000278230
ABCB11	ENSG00000276582
BNIP3P24	ENSG00000280428
KRTAP5-AS1	ENSG00000281801
CES5AP1	ENSG00000280839
ZNF66	ENSG00000275050
GNG5P1	ENSG00000280557
CYFIP1	ENSG00000280618
KIR3DL1	ENSG00000277175
G6PC2	ENSG00000278373
RNU6-222P	ENSG00000277153
DUSP8	ENSG00000273793
KIR3DL2	ENSG00000275083
FAM230I	ENSG00000274657
LINC02557	ENSG00000281077
AADACL2	ENSG00000261846
SPC25	ENSG00000277909
KCNQ2-AS1	ENSG00000281651
LINC02066	ENSG00000262411
KIR2DS2	ENSG00000275253
AADACL2-AS1	ENSG00000262466
KIR3DL2	ENSG00000275626
KCNQ2	ENSG00000281151
GART	ENSG00000262473
PTCHD3	ENSG00000276595
SLC25A51P1	ENSG00000281567
ADH5P4	ENSG00000277364
RAB11FIP3	ENSG00000275338
NOSTRIN	ENSG00000275326
ODAD2P1	ENSG00000276777
FAM210CP	ENSG00000273681
TRIAP1P1	ENSG00000278364
U6	ENSG00000273501
GOLGA6L1	ENSG00000275009
U6	ENSG00000278036
SMN2	ENSG00000273772
ABCB10P1	ENSG00000280461
RPS5P3	ENSG00000262148
DNAJC28	ENSG00000262911
TUBGCP5	ENSG00000276856
IFNGR2	ENSG00000262795
SKA1	ENSG00000262634
KIR2DL4	ENSG00000278271
OR2AS2P	ENSG00000280815
OR2T6	ENSG00000278659
PAXBP1	ENSG00000263141
LINC00235	ENSG00000282485
OR2T2	ENSG00000275754
CAPN15	ENSG00000282214
MAPK4	ENSG00000282110
Y_RNA	ENSG00000274018
OR2T4	ENSG00000275617
KCNIP4	ENSG00000281758
KIR2DS5	ENSG00000275047
RNA5SP458	ENSG00000262132
C21orf62	ENSG00000262938
OR2T7	ENSG00000281489
KIR3DL2	ENSG00000275511
SUDS3P1	ENSG00000274681
OR2T1	ENSG00000273508
PROP1	ENSG00000280635
C21orf62-AS1	ENSG00000263140
OR2T3	ENSG00000277113
KIR3DL3	ENSG00000274763
LRRC56	ENSG00000273831
SNTG2	ENSG00000281486
OR2T5	ENSG00000275102
TMEM50B	ENSG00000263160
DLGAP2	ENSG00000282103
CDH12P2	ENSG00000280638
PMCHL2	ENSG00000280840
LILRP2	ENSG00000276512
ERICH1	ENSG00000282665
KIR3DL3	ENSG00000274254
GTF2H2	ENSG00000276910
PHRF1	ENSG00000274780
KIR2DL3	ENSG00000275623
FRG1-DT	ENSG00000280716
U6	ENSG00000277642
LINC01596	ENSG00000281830
RNU1-51P	ENSG00000276052
MAFIP	ENSG00000274847
KIR3DL3	ENSG00000276086
KIR2DS4	ENSG00000275731
U1	ENSG00000277374
GOLGA6L22	ENSG00000274404
SNTB2	ENSG00000260873
RPS6P22	ENSG00000262159
LRIG3-DT	ENSG00000262592
DLGAP2-AS1	ENSG00000282001
DLGAP2	ENSG00000282152
U1	ENSG00000275987
GOLGA8EP	ENSG00000278429
UTP4	ENSG00000262788
Metazoa_SRP	ENSG00000274040
U1	ENSG00000275405
KIR2DS1	ENSG00000273603
KIR2DL5A	ENSG00000275596
HERC2P2	ENSG00000280787
LILRP2	ENSG00000273922
CNTNAP2	ENSG00000278728
KIR3DS1	ENSG00000275608
MAD2L1-DT	ENSG00000281122
HERC2P7	ENSG00000281828
SPATA31E3P	ENSG00000281846
GOLGA8IP	ENSG00000281356
Metazoa_SRP	ENSG00000276062
Metazoa_SRP	ENSG00000276377
U3	ENSG00000277205
Metazoa_SRP	ENSG00000274906
Y_RNA	ENSG00000262354
U6	ENSG00000262579
OR8U9	ENSG00000281038
OR8J2	ENSG00000263150
FAM8A2P	ENSG00000281773
OR8U8	ENSG00000262315
OR8L1P	ENSG00000280577
NDUFA6-DT	ENSG00000280613
OR5T3	ENSG00000261897
OR5T2	ENSG00000262851
OR8K2P	ENSG00000280617
OR8I1P	ENSG00000280712
OR8K3	ENSG00000262755
OR8H1	ENSG00000262611
RPL4P5	ENSG00000263127
ICE2P1	ENSG00000281800
LINC01060	ENSG00000281580
OR5T1	ENSG00000262784
SMDT1	ENSG00000272835
RPL5P29	ENSG00000281820
OR8K1	ENSG00000263328
KIR2DL4	ENSG00000273498
OR8J1	ENSG00000262796
RPS17	ENSG00000278229
NKD2	ENSG00000276920
OLA1P1	ENSG00000273194
NDUFA6	ENSG00000273397
CYP2D8P	ENSG00000273785
CYP2D6	ENSG00000272532
SDHAP2	ENSG00000281687
GOLGA8F	ENSG00000276896
MUC20-OT1	ENSG00000281603
LINC01194	ENSG00000273954
CYP2D7	ENSG00000278088
MUC20-OT1	ENSG00000281060
LMNTD2	ENSG00000275873
GOLGA6L10	ENSG00000274166
MEGF11	ENSG00000277848
DNM1P38	ENSG00000282596
SLC12A7	ENSG00000276482
ABR	ENSG00000276016
HERC2P11	ENSG00000282090
TNFRSF14	ENSG00000273936
CPEB1	ENSG00000277445
GOLGA8G	ENSG00000273651
MIR210HG	ENSG00000282810
RNH1	ENSG00000276230
KIR2DL2	ENSG00000278692
KIR2DS2	ENSG00000275735
LILRP1	ENSG00000273546
U6	ENSG00000275782
DIS3L-AS1	ENSG00000277844
SERF1B	ENSG00000277429
CLK2	ENSG00000261893
NAIP	ENSG00000276068
ABCB10P4	ENSG00000274192
NDUFA6	ENSG00000272765
HERC2	ENSG00000277278
OLA1P1	ENSG00000278846
TCF20	ENSG00000262024
LILRA4	ENSG00000276798
Metazoa_SRP	ENSG00000276767
Metazoa_SRP	ENSG00000274122
NDUFA6	ENSG00000277365
SDHAP2	ENSG00000280521
TTC34	ENSG00000275571
MUC20	ENSG00000275430
MUC20	ENSG00000277753
KIR2DS1	ENSG00000275306
SMDT1	ENSG00000272901
KIR3DL2	ENSG00000278403
SMDT1	ENSG00000274112
MMEL1	ENSG00000277131
LAIR1	ENSG00000276163
NDUFA6-DT	ENSG00000273616
MUC20-OT1	ENSG00000281915
SDHAP2	ENSG00000280909
PKLR	ENSG00000262785
OLA1P1	ENSG00000272813
CYP2D6	ENSG00000275211
MUC4	ENSG00000276613
CYP2D7	ENSG00000263181
MUC4	ENSG00000278303
DRD4	ENSG00000276825
DEAF1	ENSG00000282712
MUC20-OT1	ENSG00000280993
MCCC2	ENSG00000281742
IRF7	ENSG00000276561
MTX1P1	ENSG00000263037
SCAMP3	ENSG00000263290
CYP2D8P	ENSG00000262055
KIR2DL3	ENSG00000275658
CSPG4P10	ENSG00000282457
PSMB1	ENSG00000281184
TIMM22	ENSG00000278501
FAM120B	ENSG00000275333
KIR2DS2	ENSG00000275737
GOLGA6L9	ENSG00000274320
KIR2DL5B	ENSG00000278481
NXN	ENSG00000281300
KIR2DS1	ENSG00000276387
Metazoa_SRP	ENSG00000275991
KIR2DS3	ENSG00000277163
BDP1	ENSG00000274803
KIR2DL4	ENSG00000277540
GOLGA6L17P	ENSG00000282209
GOLGA2P10	ENSG00000282183
GBA	ENSG00000262446
MMEL1-AS1	ENSG00000280645
HRAS	ENSG00000276536
PANK4	ENSG00000273494
GOLGA6L10	ENSG00000274042
TCF20	ENSG00000276461
LINC00824	ENSG00000282114
UBE2Q2P6	ENSG00000276228
KIR2DP1	ENSG00000273753
DLL1	ENSG00000275555
ADAMTS7P1	ENSG00000281976
KIR3DL2	ENSG00000275838
LINC01624	ENSG00000280592
NDUFA6-DT	ENSG00000280811
UBE2Q2P2	ENSG00000282084
LMNTD2-AS1	ENSG00000282005
KIR3DS1	ENSG00000275037
RASSF7	ENSG00000273859
MUC4	ENSG00000273984
MUC4	ENSG00000273822
KIR2DL4	ENSG00000276979
PLCH2	ENSG00000276429
CDHR5	ENSG00000273572
KIR3DL3	ENSG00000276572
SMN1	ENSG00000275349
HCN3	ENSG00000263324
UGT2A3	ENSG00000278216
HES5	ENSG00000273529
CNOT3	ENSG00000273943
FAM189B	ENSG00000262666
TNFRSF14-AS1	ENSG00000281197
UGT2B27P	ENSG00000281308
UGT2B29P	ENSG00000281547
LINC02197	ENSG00000281321
UGT2B10	ENSG00000275190
DENND11	ENSG00000262599
PRXL2B	ENSG00000275125
TARM1	ENSG00000274889
VSTM1	ENSG00000276159
SERF1A	ENSG00000275581
KIR2DL2	ENSG00000276731
UGT2B15	ENSG00000277132
LILRP1	ENSG00000277894
LENG1	ENSG00000278426
KIR2DP1	ENSG00000276279
WEE2-AS1	ENSG00000261994
LILRA5	ENSG00000278355
KIR2DL5A	ENSG00000276177
NLRP7	ENSG00000277071
MT2P1	ENSG00000278061
KIR3DL3	ENSG00000274394
TMPRSS11E	ENSG00000274058
SSBP1	ENSG00000262771
VSTM1	ENSG00000274953
LILRA2	ENSG00000278634
NCR1	ENSG00000278362
CTSO	ENSG00000263238
SCT	ENSG00000274473
YTHDC1	ENSG00000275272
PTDSS2	ENSG00000282367
MUC20-OT1	ENSG00000281794
LILRP2	ENSG00000273666
KIR3DP1	ENSG00000278691
NLRP2	ENSG00000275399
KIR2DL1	ENSG00000275522
TDO2	ENSG00000262635
U6	ENSG00000274623
OR2W1	ENSG00000226463
NOP56P1	ENSG00000272603
OR14J1	ENSG00000236927
GP6	ENSG00000274566
TRIM27	ENSG00000234495
GP6	ENSG00000274050
AGK	ENSG00000262327
DEFB104B	ENSG00000277006
WEE2	ENSG00000263042
DEFB105B	ENSG00000274729
LILRB1	ENSG00000277807
KIR2DL1	ENSG00000275196
U6	ENSG00000273519
MBOAT7	ENSG00000277923
PRR23D1	ENSG00000274540
LILRA3	ENSG00000273884
U1	ENSG00000262656
DEFB4B	ENSG00000275444
TMEM179	ENSG00000276342
FAM90A7P	ENSG00000281040
LILRB2	ENSG00000274513
RPS9	ENSG00000278081
DEFB103B	ENSG00000273641
NDUFA3	ENSG00000275724
HCG14	ENSG00000234411
DEFB108C	ENSG00000276378
RPL13P	ENSG00000272613
FAM90A22P	ENSG00000281407
ZNF311	ENSG00000225351
OSCAR	ENSG00000275551
OR7E157P	ENSG00000280960
HSPD1P3	ENSG00000282496
FAM90A21P	ENSG00000281150
ZNF705G	ENSG00000274195
C14orf180	ENSG00000274126
RDH13	ENSG00000275474
FAM20C	ENSG00000281429
DEFB107B	ENSG00000277530
METRNL	ENSG00000275031
FAM90A6P	ENSG00000280471
NLRP7	ENSG00000277776
LINC01623	ENSG00000272857
LINC01015	ENSG00000235788
NLRP7	ENSG00000274174
SPAG11B	ENSG00000274405
OR2B3	ENSG00000233054
HCG22	ENSG00000228147
TBCD	ENSG00000278759
NLRP2	ENSG00000278789
LST1	ENSG00000235915
MBOAT7	ENSG00000277733
DEFB106B	ENSG00000275794
FAM66B	ENSG00000280677
TSEN34	ENSG00000275165
MUC20	ENSG00000278114
FAM90A23P	ENSG00000281862
KIR3DS1	ENSG00000275434
POMZP3	ENSG00000276464
TFPT	ENSG00000276296
RPS9	ENSG00000274005
TOMM40P4	ENSG00000281848
CNOT3	ENSG00000275979
CDRT15P3	ENSG00000274362
KIR2DS2	ENSG00000278300
MUC4	ENSG00000278468
TFPT	ENSG00000273833
PRAMEF5	ENSG00000276420
UPK3B	ENSG00000276184
PRAMEF22	ENSG00000276816
PRAMEF18	ENSG00000277853
MYL6P5	ENSG00000275193
SPDYE16	ENSG00000281950
B3GNTL1	ENSG00000277033
PRAMEF8	ENSG00000278021
KIR2DS5	ENSG00000274739
TSEN34	ENSG00000273896
DTX2	ENSG00000282379
HNRNPCL2	ENSG00000274109
PRAMEF25	ENSG00000276299
FCAR	ENSG00000278415
OSCAR	ENSG00000274703
TARM1	ENSG00000275123
HNRNPCL4	ENSG00000273865
PRAMEF33	ENSG00000276370
PRAMEF9	ENSG00000281573
LILRP1	ENSG00000276526
U6	ENSG00000252239
LILRB1	ENSG00000276452
OR2J3	ENSG00000226271
LENG1	ENSG00000277457
HLA-H	ENSG00000231904
MICB	ENSG00000231179
U6	ENSG00000278296
RDH13	ENSG00000274504
KIR3DL3	ENSG00000274511
NDUFA3	ENSG00000278365
KIR2DS4	ENSG00000274533
KIR3DL2	ENSG00000276739
KIR2DS1	ENSG00000278120
KIR3DL2	ENSG00000278707
LILRA4	ENSG00000274185
OR2U2P	ENSG00000230754
TRIM10	ENSG00000237703
LILRB2	ENSG00000277751
LILRP2	ENSG00000275462
ATP23	ENSG00000262145
FAM138D	ENSG00000262927
RNA5-8SN4	ENSG00000276700
FAM189A1	ENSG00000273564
5_8S_rRNA	ENSG00000275757
LAIR1	ENSG00000278154
