GO root	GO id	GO name	value	pval
BP	GO:0043410	positive regulation of MAPK cascade	260	0.00012749337678753396
BP	GO:0031399	regulation of protein modification process	733	0.00012845877509400655
BP	GO:0006109	regulation of carbohydrate metabolic process	64	0.00013516695924631193
BP	GO:0051348	negative regulation of transferase activity	103	0.0001366379946556343
BP	GO:0042327	positive regulation of phosphorylation	478	0.00014457393651964607
BP	GO:0043506	regulation of JUN kinase activity	35	0.0001566108477954767
BP	GO:0030279	negative regulation of ossification	35	0.0001566108477954767
BP	GO:0032984	protein-containing complex disassembly	66	0.000156687243767905
BP	GO:0045936	negative regulation of phosphate metabolic process	207	0.0001583046404763152
BP	GO:0010563	negative regulation of phosphorus metabolic process	207	0.0001583046404763152
BP	GO:0022411	cellular component disassembly	106	0.00016036681497689617
BP	GO:0009967	positive regulation of signal transduction	656	0.00016816383930333664
BP	GO:0051241	negative regulation of multicellular organismal process	413	0.00018847110496796737
BP	GO:0090245	axis elongation involved in somitogenesis	3	0.00019359797566438912
BP	GO:0010454	negative regulation of cell fate commitment	3	0.00019359797566438912
BP	GO:0090381	regulation of heart induction	3	0.00019359797566438912
BP	GO:0044340	canonical Wnt signaling pathway involved in regulation of cell proliferation	3	0.00019359797566438912
BP	GO:0001942	hair follicle development	15	0.0002091629735101194
BP	GO:0032885	regulation of polysaccharide biosynthetic process	15	0.0002091629735101194
BP	GO:0045937	positive regulation of phosphate metabolic process	498	0.00021700969318874612
BP	GO:0010562	positive regulation of phosphorus metabolic process	498	0.00021700969318874612
BP	GO:0002009	morphogenesis of an epithelium	113	0.00022858790990205424
BP	GO:0048598	embryonic morphogenesis	114	0.00023996959991561055
BP	GO:0045995	regulation of embryonic development	39	0.0002406130703665731
BP	GO:0032881	regulation of polysaccharide metabolic process	16	0.0002560354172661299
BP	GO:0001933	negative regulation of protein phosphorylation	168	0.00028514807830629855
BP	GO:0043393	regulation of protein binding	118	0.0002900704585386105
BP	GO:0001649	osteoblast differentiation	41	0.00029297891359702816
BP	GO:0010647	positive regulation of cell communication	690	0.00029788701670209277
BP	GO:0030278	regulation of ossification	76	0.00030643974600099723
BP	GO:0023056	positive regulation of signaling	692	0.0003077173935083167
BP	GO:0031400	negative regulation of protein modification process	230	0.00033054033069185
BP	GO:0048523	negative regulation of cellular process	1461	0.00036957592719192645
BP	GO:0044342	type B pancreatic cell proliferation	4	0.00038524374609180814
BP	GO:1905770	regulation of mesodermal cell differentiation	4	0.00038524374609180814
BP	GO:1904885	beta-catenin destruction complex assembly	4	0.00038524374609180814
BP	GO:1905902	regulation of mesoderm formation	4	0.00038524374609180814
BP	GO:0042661	regulation of mesodermal cell fate specification	4	0.00038524374609180814
BP	GO:1904953	Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation	4	0.00038524374609180814
BP	GO:0031333	negative regulation of protein complex assembly	44	0.00038624638173594014
BP	GO:0040008	regulation of growth	239	0.00043059065846885085
BP	GO:0046328	regulation of JNK cascade	82	0.00043775689770131083
BP	GO:0006469	negative regulation of protein kinase activity	84	0.0004898312147342353
BP	GO:2000725	regulation of cardiac muscle cell differentiation	20	0.0005100044187377497
BP	GO:0042326	negative regulation of phosphorylation	186	0.0005343044796928655
BP	GO:0031401	positive regulation of protein modification process	556	0.0006313503726634402
BP	GO:0045860	positive regulation of protein kinase activity	253	0.0006348394023365304
BP	GO:0034392	negative regulation of smooth muscle cell apoptotic process	5	0.0006388368985308372
BP	GO:2000027	regulation of animal organ morphogenesis	89	0.0006405450477972479
BP	GO:0033673	negative regulation of kinase activity	90	0.0006744667775944103
BP	GO:0043407	negative regulation of MAP kinase activity	22	0.0006815064221733039
BP	GO:0051098	regulation of binding	194	0.0006904380751331103
BP	GO:0048729	tissue morphogenesis	140	0.0007319249146399006
BP	GO:1905207	regulation of cardiocyte differentiation	23	0.000779485919133695
BP	GO:0001558	regulation of cell growth	144	0.0008504439601109355
BP	GO:0050790	regulation of catalytic activity	760	0.0008651220417384648
BP	GO:0048856	anatomical structure development	836	0.0009345559650000307
BP	GO:0060026	convergent extension	6	0.0009534276795112869
BP	GO:2000380	regulation of mesoderm development	6	0.0009534276795112869
BP	GO:1905330	regulation of morphogenesis of an epithelium	56	0.0009776624890779522
BP	GO:0048519	negative regulation of biological process	1582	0.0010721558872815848
BP	GO:0033674	positive regulation of kinase activity	275	0.0011109830694011845
BP	GO:0002090	regulation of receptor internalization	26	0.0011258646000049885
BP	GO:1901652	response to peptide	153	0.0011717350853934915
BP	GO:0032270	positive regulation of cellular protein metabolic process	686	0.0011836209912384527
BP	GO:0032872	regulation of stress-activated MAPK cascade	103	0.0012497837549916378
BP	GO:0090175	regulation of establishment of planar polarity	27	0.00125973814548513
BP	GO:0070302	regulation of stress-activated protein kinase signaling cascade	104	0.0013056206622469087
BP	GO:0045725	positive regulation of glycogen biosynthetic process	7	0.0013280767004872145
BP	GO:0042659	regulation of cell fate specification	7	0.0013280767004872145
BP	GO:0070875	positive regulation of glycogen metabolic process	7	0.0013280767004872145
BP	GO:0034121	regulation of toll-like receptor signaling pathway	28	0.0014032665711549964
BP	GO:0022404	molting cycle process	28	0.0014032665711549964
BP	GO:0022405	hair cycle process	28	0.0014032665711549964
BP	GO:0043405	regulation of MAP kinase activity	159	0.0014333335826735903
BP	GO:0046330	positive regulation of JNK cascade	65	0.0017142881970853235
BP	GO:2000095	regulation of Wnt signaling pathway, planar cell polarity pathway	8	0.001761854842082632
BP	GO:0048009	insulin-like growth factor receptor signaling pathway	8	0.001761854842082632
BP	GO:0060349	bone morphogenesis	8	0.001761854842082632
BP	GO:0051128	regulation of cellular component organization	911	0.0018027525942601738
BP	GO:0062012	regulation of small molecule metabolic process	116	0.002129963977593202
BP	GO:0010470	regulation of gastrulation	9	0.0022538431589852947
BP	GO:0048736	appendage development	9	0.0022538431589852947
BP	GO:0034143	regulation of toll-like receptor 4 signaling pathway	9	0.0022538431589852947
BP	GO:0060325	face morphogenesis	9	0.0022538431589852947
BP	GO:0060173	limb development	9	0.0022538431589852947
BP	GO:0043507	positive regulation of JUN kinase activity	33	0.0022744916256664896
BP	GO:0051347	positive regulation of transferase activity	310	0.002432540816301744
BP	GO:0043255	regulation of carbohydrate biosynthetic process	34	0.0024811052055297104
BP	GO:0045840	positive regulation of mitotic nuclear division	34	0.0024811052055297104
BP	GO:0032526	response to retinoic acid	34	0.0024811052055297104
BP	GO:0065009	regulation of molecular function	1040	0.002529695572503197
BP	GO:0001501	skeletal system development	35	0.002699026551577284
BP	GO:0048771	tissue remodeling	35	0.002699026551577284
BP	GO:0090304	nucleic acid metabolic process	1072	0.002746880378576324
BP	GO:0051147	regulation of muscle cell differentiation	74	0.0027713461269303534
BP	GO:0001702	gastrulation with mouth forming second	10	0.0028031327858156012
BP	GO:1905208	negative regulation of cardiocyte differentiation	10	0.0028031327858156012
BP	GO:0003401	axis elongation	10	0.0028031327858156012
BP	GO:0040019	positive regulation of embryonic development	10	0.0028031327858156012
BP	GO:0032874	positive regulation of stress-activated MAPK cascade	75	0.0029112601746705156
BP	GO:0051785	positive regulation of nuclear division	36	0.0029284642537795603
BP	GO:0070304	positive regulation of stress-activated protein kinase signaling cascade	76	0.003055972420698608
BP	GO:0051247	positive regulation of protein metabolic process	730	0.0032029035305100534
BP	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	129	0.0033996642208396367
BP	GO:0010628	positive regulation of gene expression	743	0.0034770750224875574
BP	GO:0051091	positive regulation of DNA-binding transcription factor activity	130	0.003515990069304861
BP	GO:0032268	regulation of cellular protein metabolic process	947	0.0036399059386037517
BP	GO:0035304	regulation of protein dephosphorylation	39	0.00368786343771171
BP	GO:0009653	anatomical structure morphogenesis	413	0.003924518023916843
BP	GO:0048869	cellular developmental process	762	0.004023533940677167
BP	GO:0106056	regulation of calcineurin-mediated signaling	12	0.004070030346855672
BP	GO:0070884	regulation of calcineurin-NFAT signaling cascade	12	0.004070030346855672
BP	GO:2000050	regulation of non-canonical Wnt signaling pathway	12	0.004070030346855672
BP	GO:0043467	regulation of generation of precursor metabolites and energy	41	0.0042552444219479055
BP	GO:0008283	cell proliferation	266	0.004381245802075756
BP	GO:0051090	regulation of DNA-binding transcription factor activity	198	0.004390768824351868
BP	GO:0050673	epithelial cell proliferation	42	0.004557799697110931
BP	GO:0030282	bone mineralization	13	0.0047858701123019085
BP	GO:0010453	regulation of cell fate commitment	13	0.0047858701123019085
BP	GO:0003156	regulation of animal organ formation	13	0.0047858701123019085
BP	GO:2000727	positive regulation of cardiac muscle cell differentiation	13	0.0047858701123019085
BP	GO:0055024	regulation of cardiac muscle tissue development	43	0.00487315306036121
BP	GO:0110110	positive regulation of animal organ morphogenesis	43	0.00487315306036121
BP	GO:0046824	positive regulation of nucleocytoplasmic transport	43	0.00487315306036121
BP	GO:0007389	pattern specification process	87	0.004987644526608699
BP	GO:0044093	positive regulation of molecular function	670	0.00545153209783911
BP	GO:2000679	positive regulation of transcription regulatory region DNA binding	14	0.005555474666967617
BP	GO:0042104	positive regulation of activated T cell proliferation	14	0.005555474666967617
BP	GO:0016070	RNA metabolic process	858	0.005768739347754045
BP	GO:0044271	cellular nitrogen compound biosynthetic process	822	0.005790592849099113
BP	GO:0048584	positive regulation of response to stimulus	864	0.005843924043243915
BP	GO:0048259	regulation of receptor-mediated endocytosis	46	0.005897560741004532
BP	GO:0051153	regulation of striated muscle cell differentiation	46	0.005897560741004532
BP	GO:0032269	negative regulation of cellular protein metabolic process	359	0.006123391874151173
BP	GO:0034641	cellular nitrogen compound metabolic process	1185	0.006139069849362352
BP	GO:0006725	cellular aromatic compound metabolic process	1157	0.006314009184327479
BP	GO:0010907	positive regulation of glucose metabolic process	15	0.0063779841582838285
BP	GO:1905209	positive regulation of cardiocyte differentiation	15	0.0063779841582838285
BP	GO:0034122	negative regulation of toll-like receptor signaling pathway	15	0.0063779841582838285
BP	GO:0051173	positive regulation of nitrogen compound metabolic process	1212	0.006389988888304337
BP	GO:0046483	heterocycle metabolic process	1148	0.006464616509052462
BP	GO:0006139	nucleobase-containing compound metabolic process	1133	0.006819667525860624
BP	GO:0031331	positive regulation of cellular catabolic process	152	0.006873231700375342
BP	GO:1901700	response to oxygen-containing compound	537	0.006990394792506324
BP	GO:0031325	positive regulation of cellular metabolic process	1239	0.0070639616462374565
BP	GO:0080135	regulation of cellular response to stress	290	0.0070780314473417125
BP	GO:0060444	branching involved in mammary gland duct morphogenesis	16	0.007252548264144001
BP	GO:1901653	cellular response to peptide	97	0.007344224787386233
BP	GO:0035148	tube formation	50	0.007451593353036577
BP	GO:0010604	positive regulation of macromolecule metabolic process	1259	0.007850442920630795
BP	GO:0032091	negative regulation of protein binding	51	0.007874572873568311
BP	GO:0090288	negative regulation of cellular response to growth factor stimulus	51	0.007874572873568311
BP	GO:0030514	negative regulation of BMP signaling pathway	17	0.008178326104183974
BP	GO:0010656	negative regulation of muscle cell apoptotic process	17	0.008178326104183974
BP	GO:1904646	cellular response to amyloid-beta	17	0.008178326104183974
BP	GO:0034391	regulation of smooth muscle cell apoptotic process	17	0.008178326104183974
BP	GO:0007369	gastrulation	17	0.008178326104183974
BP	GO:0061743	motor learning	1	0.008218277449056158
BP	GO:1905067	negative regulation of canonical Wnt signaling pathway involved in heart development	1	0.008218277449056158
BP	GO:1900747	negative regulation of vascular endothelial growth factor signaling pathway	1	0.008218277449056158
BP	GO:0044335	canonical Wnt signaling pathway involved in neural crest cell differentiation	1	0.008218277449056158
BP	GO:2000752	regulation of glucosylceramide catabolic process	1	0.008218277449056158
BP	GO:0021814	cell motility involved in cerebral cortex radial glia guided migration	1	0.008218277449056158
BP	GO:1900161	regulation of phospholipid scramblase activity	1	0.008218277449056158
BP	GO:1904075	positive regulation of trophectodermal cell proliferation	1	0.008218277449056158
BP	GO:0035644	phosphoanandamide dephosphorylation	1	0.008218277449056158
BP	GO:0042686	regulation of cardioblast cell fate specification	1	0.008218277449056158
BP	GO:1902548	negative regulation of cellular response to vascular endothelial growth factor stimulus	1	0.008218277449056158
BP	GO:0038018	Wnt receptor catabolic process	1	0.008218277449056158
BP	GO:1901296	negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	1	0.008218277449056158
BP	GO:0045719	negative regulation of glycogen biosynthetic process	1	0.008218277449056158
BP	GO:2000467	positive regulation of glycogen (starch) synthase activity	1	0.008218277449056158
BP	GO:2000754	regulation of sphingomyelin catabolic process	1	0.008218277449056158
BP	GO:0071109	superior temporal gyrus development	1	0.008218277449056158
BP	GO:0051892	negative regulation of cardioblast differentiation	1	0.008218277449056158
BP	GO:1904723	negative regulation of Wnt-Frizzled-LRP5/6 complex assembly	1	0.008218277449056158
BP	GO:2000466	negative regulation of glycogen (starch) synthase activity	1	0.008218277449056158
BP	GO:0048343	paraxial mesodermal cell fate commitment	1	0.008218277449056158
BP	GO:0008591	regulation of Wnt signaling pathway, calcium modulating pathway	1	0.008218277449056158
BP	GO:0051490	negative regulation of filopodium assembly	1	0.008218277449056158
BP	GO:1903224	regulation of endodermal cell differentiation	1	0.008218277449056158
BP	GO:1990697	protein depalmitoleylation	1	0.008218277449056158
BP	GO:0042662	negative regulation of mesodermal cell fate specification	1	0.008218277449056158
BP	GO:0110113	positive regulation of lipid transporter activity	1	0.008218277449056158
BP	GO:2000079	regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation	1	0.008218277449056158
BP	GO:2000542	negative regulation of gastrulation	1	0.008218277449056158
BP	GO:1900163	positive regulation of phospholipid scramblase activity	1	0.008218277449056158
BP	GO:0100012	regulation of heart induction by canonical Wnt signaling pathway	1	0.008218277449056158
BP	GO:0061317	canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	1	0.008218277449056158
BP	GO:2000755	positive regulation of sphingomyelin catabolic process	1	0.008218277449056158
BP	GO:1905880	negative regulation of oogenesis	1	0.008218277449056158
BP	GO:0042663	regulation of endodermal cell fate specification	1	0.008218277449056158
BP	GO:0048697	positive regulation of collateral sprouting in absence of injury	1	0.008218277449056158
BP	GO:0048696	regulation of collateral sprouting in absence of injury	1	0.008218277449056158
BP	GO:2000081	positive regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation	1	0.008218277449056158
BP	GO:1901320	negative regulation of heart induction	1	0.008218277449056158
BP	GO:0036335	intestinal stem cell homeostasis	1	0.008218277449056158
BP	GO:1904073	regulation of trophectodermal cell proliferation	1	0.008218277449056158
BP	GO:2000753	positive regulation of glucosylceramide catabolic process	1	0.008218277449056158
BP	GO:0048337	positive regulation of mesodermal cell fate specification	1	0.008218277449056158
BP	GO:1905903	negative regulation of mesoderm formation	1	0.008218277449056158
BP	GO:0045813	positive regulation of Wnt signaling pathway, calcium modulating pathway	1	0.008218277449056158
BP	GO:0060283	negative regulation of oocyte development	1	0.008218277449056158
BP	GO:2000483	negative regulation of interleukin-8 secretion	1	0.008218277449056158
BP	GO:0090676	calcium ion transmembrane transport via low voltage-gated calcium channel	1	0.008218277449056158
BP	GO:0060764	cell-cell signaling involved in mammary gland development	1	0.008218277449056158
BP	GO:0090082	positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway	1	0.008218277449056158
BP	GO:0060535	trachea cartilage morphogenesis	1	0.008218277449056158
BP	GO:0009997	negative regulation of cardioblast cell fate specification	1	0.008218277449056158
BP	GO:0072224	metanephric glomerulus development	1	0.008218277449056158
BP	GO:1905771	negative regulation of mesodermal cell differentiation	1	0.008218277449056158
BP	GO:2000051	negative regulation of non-canonical Wnt signaling pathway	1	0.008218277449056158
BP	GO:1905904	positive regulation of mesoderm formation	1	0.008218277449056158
BP	GO:0001710	mesodermal cell fate commitment	1	0.008218277449056158
BP	GO:0003136	negative regulation of heart induction by canonical Wnt signaling pathway	1	0.008218277449056158
BP	GO:0090081	regulation of heart induction by regulation of canonical Wnt signaling pathway	1	0.008218277449056158
BP	GO:2000077	negative regulation of type B pancreatic cell development	1	0.008218277449056158
BP	GO:1905772	positive regulation of mesodermal cell differentiation	1	0.008218277449056158
BP	GO:0021874	Wnt signaling pathway involved in forebrain neuroblast division	1	0.008218277449056158
BP	GO:0043553	negative regulation of phosphatidylinositol 3-kinase activity	1	0.008218277449056158
BP	GO:0061183	regulation of dermatome development	1	0.008218277449056158
BP	GO:0061304	retinal blood vessel morphogenesis	1	0.008218277449056158
BP	GO:1904711	regulation of Wnt-Frizzled-LRP5/6 complex assembly	1	0.008218277449056158
BP	GO:0061184	positive regulation of dermatome development	1	0.008218277449056158
BP	GO:2000044	negative regulation of cardiac cell fate specification	1	0.008218277449056158
BP	GO:0060697	positive regulation of phospholipid catabolic process	1	0.008218277449056158
BP	GO:2000043	regulation of cardiac cell fate specification	1	0.008218277449056158
BP	GO:1901576	organic substance biosynthetic process	981	0.008465048951091498
BP	GO:0009058	biosynthetic process	992	0.008491350618057506
BP	GO:0051246	regulation of protein metabolic process	1002	0.00859785160153527
BP	GO:0044249	cellular biosynthetic process	964	0.008610936956584655
BP	GO:0035303	regulation of dephosphorylation	53	0.00876272070256466
BP	GO:0051248	negative regulation of protein metabolic process	381	0.008787956051521816
BP	GO:0043086	negative regulation of catalytic activity	229	0.008938967717897766
BP	GO:0048641	regulation of skeletal muscle tissue development	18	0.009154486151414757
BP	GO:0003002	regionalization	54	0.009228103786845352
BP	GO:0010942	positive regulation of cell death	305	0.009309670848662787
BP	GO:0120035	regulation of plasma membrane bounded cell projection organization	232	0.009513065984512369
BP	GO:0019438	aromatic compound biosynthetic process	785	0.009817894490244568
BP	GO:0018130	heterocycle biosynthetic process	782	0.009820944620934125
BP	GO:0034654	nucleobase-containing compound biosynthetic process	776	0.009853943251630522
BP	GO:0031344	regulation of cell projection organization	234	0.009910439218924124
BP	GO:1901362	organic cyclic compound biosynthetic process	799	0.009922511041634111
BP	GO:0032501	multicellular organismal process	809	0.010117876870651842
BP	GO:0021953	central nervous system neuron differentiation	19	0.010180206145027447
BP	GO:0006984	ER-nucleus signaling pathway	19	0.010180206145027447
BP	GO:1904645	response to amyloid-beta	19	0.010180206145027447
BP	GO:1900744	regulation of p38MAPK cascade	19	0.010180206145027447
BP	GO:1901998	toxin transport	19	0.010180206145027447
BP	GO:2000826	regulation of heart morphogenesis	19	0.010180206145027447
BP	GO:0031214	biomineral tissue development	19	0.010180206145027447
BP	GO:1902533	positive regulation of intracellular signal transduction	476	0.010203393793975528
BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	168	0.0104332607451741
BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	108	0.010685986379396899
BP	GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	58	0.011233974204800757
BP	GO:0043547	positive regulation of GTPase activity	111	0.011744653654679114
BP	GO:0016202	regulation of striated muscle tissue development	60	0.012324729112912321
BP	GO:0048634	regulation of muscle organ development	60	0.012324729112912321
BP	GO:0046006	regulation of activated T cell proliferation	21	0.01237708273857429
BP	GO:0045927	positive regulation of growth	113	0.012487097165684613
BP	GO:0022407	regulation of cell-cell adhesion	176	0.012623931484336161
BP	GO:0043687	post-translational protein modification	114	0.012869487053350719
BP	GO:0050670	regulation of lymphocyte proliferation	114	0.012869487053350719
BP	GO:0009896	positive regulation of catabolic process	177	0.012918405177932767
BP	GO:0045596	negative regulation of cell differentiation	248	0.013037627666948739
BP	GO:0032944	regulation of mononuclear cell proliferation	115	0.013259395129425696
BP	GO:0035239	tube morphogenesis	115	0.013259395129425696
BP	GO:1901861	regulation of muscle tissue development	62	0.013474848019640547
BP	GO:0070663	regulation of leukocyte proliferation	117	0.014061978594228577
BP	GO:0005975	carbohydrate metabolic process	63	0.014072335764055487
BP	GO:0046822	regulation of nucleocytoplasmic transport	64	0.014684856135566382
BP	GO:0009893	positive regulation of metabolic process	1319	0.014702547659125197
BP	GO:0045669	positive regulation of osteoblast differentiation	23	0.014762559841808442
BP	GO:0021766	hippocampus development	23	0.014762559841808442
BP	GO:0050794	regulation of cellular process	2490	0.015089686640329713
BP	GO:0043409	negative regulation of MAPK cascade	65	0.01531246426163112
BP	GO:0010676	positive regulation of cellular carbohydrate metabolic process	24	0.016024063936242647
BP	GO:1901321	positive regulation of heart induction	2	0.016371695095820153
BP	GO:0042660	positive regulation of cell fate specification	2	0.016371695095820153
BP	GO:0035426	extracellular matrix-cell signaling	2	0.016371695095820153
BP	GO:0060995	cell-cell signaling involved in kidney development	2	0.016371695095820153
BP	GO:0036324	vascular endothelial growth factor receptor-2 signaling pathway	2	0.016371695095820153
BP	GO:0009441	glycolate metabolic process	2	0.016371695095820153
BP	GO:0030917	midbrain-hindbrain boundary development	2	0.016371695095820153
BP	GO:0061299	retina vasculature morphogenesis in camera-type eye	2	0.016371695095820153
BP	GO:0030166	proteoglycan biosynthetic process	2	0.016371695095820153
BP	GO:0043508	negative regulation of JUN kinase activity	2	0.016371695095820153
BP	GO:0060042	retina morphogenesis in camera-type eye	2	0.016371695095820153
BP	GO:0072204	cell-cell signaling involved in metanephros development	2	0.016371695095820153
BP	GO:1905460	negative regulation of vascular associated smooth muscle cell apoptotic process	2	0.016371695095820153
BP	GO:1902547	regulation of cellular response to vascular endothelial growth factor stimulus	2	0.016371695095820153
BP	GO:0030539	male genitalia development	2	0.016371695095820153
BP	GO:0023021	termination of signal transduction	2	0.016371695095820153
BP	GO:2000382	positive regulation of mesoderm development	2	0.016371695095820153
BP	GO:1904948	midbrain dopaminergic neuron differentiation	2	0.016371695095820153
BP	GO:0010387	COP9 signalosome assembly	2	0.016371695095820153
BP	GO:0071447	cellular response to hydroperoxide	2	0.016371695095820153
BP	GO:0060059	embryonic retina morphogenesis in camera-type eye	2	0.016371695095820153
BP	GO:0061289	Wnt signaling pathway involved in kidney development	2	0.016371695095820153
BP	GO:0022007	convergent extension involved in neural plate elongation	2	0.016371695095820153
BP	GO:0032835	glomerulus development	2	0.016371695095820153
BP	GO:1900165	negative regulation of interleukin-6 secretion	2	0.016371695095820153
BP	GO:2000543	positive regulation of gastrulation	2	0.016371695095820153
BP	GO:0001706	endoderm formation	2	0.016371695095820153
BP	GO:0090219	negative regulation of lipid kinase activity	2	0.016371695095820153
BP	GO:0070433	negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	2	0.016371695095820153
BP	GO:0032615	interleukin-12 production	2	0.016371695095820153
BP	GO:0021587	cerebellum morphogenesis	2	0.016371695095820153
BP	GO:0032613	interleukin-10 production	2	0.016371695095820153
BP	GO:1900746	regulation of vascular endothelial growth factor signaling pathway	2	0.016371695095820153
BP	GO:0070425	negative regulation of nucleotide-binding oligomerization domain containing signaling pathway	2	0.016371695095820153
BP	GO:0072282	metanephric nephron tubule morphogenesis	2	0.016371695095820153
BP	GO:2000381	negative regulation of mesoderm development	2	0.016371695095820153
BP	GO:0090118	receptor-mediated endocytosis involved in cholesterol transport	2	0.016371695095820153
BP	GO:0061458	reproductive system development	2	0.016371695095820153
BP	GO:0110112	regulation of lipid transporter activity	2	0.016371695095820153
BP	GO:0035261	external genitalia morphogenesis	2	0.016371695095820153
BP	GO:0061316	canonical Wnt signaling pathway involved in heart development	2	0.016371695095820153
BP	GO:0051450	myoblast proliferation	2	0.016371695095820153
BP	GO:1901295	regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	2	0.016371695095820153
BP	GO:0051890	regulation of cardioblast differentiation	2	0.016371695095820153
BP	GO:0070874	negative regulation of glycogen metabolic process	2	0.016371695095820153
BP	GO:2001140	positive regulation of phospholipid transport	2	0.016371695095820153
BP	GO:0003308	negative regulation of Wnt signaling pathway involved in heart development	2	0.016371695095820153
BP	GO:0060669	embryonic placenta morphogenesis	2	0.016371695095820153
BP	GO:2001138	regulation of phospholipid transport	2	0.016371695095820153
BP	GO:0106028	neuron projection retraction	2	0.016371695095820153
BP	GO:0038028	insulin receptor signaling pathway via phosphatidylinositol 3-kinase	2	0.016371695095820153
BP	GO:0033278	cell proliferation in midbrain	2	0.016371695095820153
BP	GO:0061290	canonical Wnt signaling pathway involved in metanephric kidney development	2	0.016371695095820153
BP	GO:1905066	regulation of canonical Wnt signaling pathway involved in heart development	2	0.016371695095820153
BP	GO:0070432	regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	2	0.016371695095820153
BP	GO:0006915	apoptotic process	261	0.01652429257501933
BP	GO:1903364	positive regulation of cellular protein catabolic process	67	0.016613144004239206
